SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-11-2019,Single Family Residential,23820 5th Ave W,Bothell,WA,98021,394950,3,1.5,Bothell,1232,11761,1967,15,321,,Sold,,,http://www.redfin.com/WA/Bothell/23820-5th-Ave-W-98021/home/2745210,NWMLS,1321341,N,Y,47.7818563,-122.2401039
PAST SALE,August-14-2018,Condo/Co-op,18930 Bothell Everett Hwy Unit A102,Bothell,WA,98012,290000,2,1.0,Thrashers Corner,887,,1998,165,327,361,Sold,,,http://www.redfin.com/WA/Bothell/18930-Bothell-Everett-Hwy-98012/unit-A102/home/12104291,NWMLS,1313038,N,Y,47.8252115,-122.2098446
PAST SALE,November-29-2018,Condo/Co-op,2009 196th St SE Unit F102,Bothell,WA,98012,320000,2,2.0,Thrashers Corner,1018,366781,2000,58,314,285,Sold,,,http://www.redfin.com/WA/Bothell/2009-196th-St-SE-98012/unit-F102/home/2884454,NWMLS,1366987,N,Y,47.8213595,-122.2049959
PAST SALE,November-27-2018,Single Family Residential,3121 200th Place SE,Bothell,WA,98012,555000,4,2.5,Thrashers Corner,1854,5663,1996,60,299,42,Sold,,,http://www.redfin.com/WA/Bothell/3121-200th-Pl-SE-98012/home/2851335,NWMLS,1365060,N,Y,47.8162327,-122.1905778
PAST SALE,September-28-2018,Single Family Residential,23714 Carter Rd,Bothell,WA,98021,625000,4,2.75,Bothell,2111,6970,2000,120,296,,Sold,,,http://www.redfin.com/WA/Bothell/23714-Carter-Rd-98021/home/2866048,NWMLS,1335538,N,Y,47.7833322,-122.252085
PAST SALE,December-20-2018,Single Family Residential,17808 31st Dr SE,Bothell,WA,98012,740000,4,2.5,Bothell,2925,6098,2001,37,253,,Sold,,,http://www.redfin.com/WA/Bothell/17808-31st-Dr-SE-98012/home/2886516,NWMLS,1369425,N,Y,47.8366722,-122.1908639
PAST SALE,August-28-2018,Single Family Residential,20314 97th Ave NE,Bothell,WA,98011,600000,3,2.25,Canyon Park,1650,10260,1977,151,364,,Sold,,,http://www.redfin.com/WA/Bothell/20314-97th-Ave-NE-98011/home/286416,NWMLS,1331436,N,Y,47.7757066,-122.211138
PAST SALE,December-7-2018,Condo/Co-op,2201 192nd St SE,Bothell,WA,98012,375000,3,1.75,Bothell,1396,,1999,50,269,395,Sold,,,http://www.redfin.com/WA/Bothell/2201-192nd-St-SE-98012/home/2539389,NWMLS,1378423,N,Y,47.82636,-122.2032819
PAST SALE,September-11-2018,Single Family Residential,23016 2nd Ave SE,Bothell,WA,98021,565000,4,2.0,Kenmore,2495,17860,1963,137,226,,Sold,,,http://www.redfin.com/WA/Bothell/23016-2nd-Ave-SE-98021/home/2706285,NWMLS,1319720,N,Y,47.7889254,-122.2290674
PAST SALE,October-29-2018,Condo/Co-op,15730 116th Ave NE #405,Bothell,WA,98011,440000,2,2.0,Bothell,1096,187743,2007,89,401,331,Sold,,,http://www.redfin.com/WA/Bothell/15730-116th-Ave-NE-98011/unit-405/home/12536617,NWMLS,1357600,N,Y,47.7422885,-122.1854547
